S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
1,SIA/AP/IND3/486742/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/147339/2023
Category: B1
Sector: Industrial Projects - 3
Date of Submission:
09/07/2024",Manufacture of Single Super Phosphate (SSP) Fertilizer,ANDHRA PRADESH,DEEAAR AGRO CHEMPHARMS LLP,SEIAA,EC Granted,ANDHRA PRADESH,5(a) Chemical fertilizers
2,SIA/AP/IND3/447612/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/147339/2023
Category: B1
Sector: Industrial Projects - 3
Date of Submission:
09/10/2023",Manufacture of Single Super Phosphate (SSP) Fertilizer,ANDHRA PRADESH,DEEAAR AGRO CHEMPHARMS LLP,SEIAA,TOR Granted,ANDHRA PRADESH,5(a) Chemical fertilizers
3,SIA/AP/IND3/439213/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/138905/2023
Category: B1
Sector: Industrial Projects - 3
Date of Submission:
19/08/2023","Expansion of existing Single Super Phosphate (SSP) manufacturing unit without sulphuric acid manufacturing in existing site at Sy. Nos. 329/2, 355/5 and 355/6, Thummapala Village, Anakapalle Mandal, Anakapalle District, Andhra Pradesh by M/s. GDS Chemicals and Fertilizers (P) Ltd.",ANDHRA PRADESH,GDS CHEMICALS & FERTILISERS PRIVATE LIMITED,SEIAA,TOR Granted,ANDHRA PRADESH,5(a) Chemical fertilizers
1,SIA/AP/IND1/578180/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/283490/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
07/05/2026","PROPOSED 2,00,000 TPA NON-RECOVERY TYPE COKE OVEN PLANT ALONG WITH WASTE HEAT RECOVERY POWER PLANT OF 16 MW WITHIN DE-NOTIFIED AREA OF KAKINADA SEZ, KAKINADA DISTRICT, ANDHRA PRADESH M/s. Green coke and Energy Pvt Ltd",ANDHRA PRADESH,green coke and energy private limited,SEIAA,ToR Granted,ANDHRA PRADESH,4(b) Coke oven plants
1,SIA/AR/IND1/437136/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136954/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
18/07/2023",Regularisation of existing manufacturing unit- SATYAM ISPAT(NORTH EAST) LIMITED that produces MS ingots of capacity 67200 MTPA and TMT Bars of capacity 74400 MTPA.,ARUNACHAL PRADESH,SATYAM ISPAT (NORTH EAST) LIMITED,SEIAA,EDS raised,ARUNACHAL PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
2,SIA/AR/IND1/436453/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136231/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/07/2023",M/s Satyam Steel and Alloys for regularization of the existing manufacturing unit of TMT Bars(28500 MTPA) and M.S Ingot/Billets (30000 MTPA) products with induction furnace and rolling mill,ARUNACHAL PRADESH,SATYAM STEELS & ALLOYS,SEIAA,TOR GRANTED,ARUNACHAL PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
1,SIA/AR/IND2/547084/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/255945/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
05/08/2025","Proposed Grain-Based Distillery for production of 150 KLD Extra Neutral Alcohol (ENA) along with 5.0 M.W. Captive Power Plant by M/s J.Y. Distillery Private Limited in the revenue estate of Village Hollongi, District Papum Pare, Arunachal Pradesh",ARUNACHAL PRADESH,J Y DISTILLERY PRIVATE LIMITED,SEIAA,ToR Granted,ARUNACHAL PRADESH,5(g) Distilleries
1,SIA/AR/IND1/546952/2025,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/255573/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
04/08/2025",Apply for renewal/ extension of Environmental Clearance,ARUNACHAL PRADESH,TANGYAN SIMAI,SEIAA,Proposal returned in present form,ARUNACHAL PRADESH,4(b) Coke oven plants
1,SIA/AS/IND1/579880/2026,"Clearance Type: Application for Corrigendum Form-13
S/W No.: SW/279206/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/05/2026","Proposed Expansion of Existing Production Facilities for M.S. Billet (from 90000 TPA to 180000 TPA) through Induction Furnace (22 TPH x 2 and 15 TPH x 1) and Rolling Mill products (from 98844 TPA to 200000 TPA) By KD Iron & Steel Pvt. Ltd., at IIDC, Village Borshil, Sotshil, Po. Maranjana, P.S. Rangia, Tehsil - Rangia, Dist.- Kamrup (Rural), Assam – 781354",ASSAM,K D IRON AND STEEL CO,SEIAA,ADS Raised,ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
2,SIA/AS/IND1/574682/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/279206/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/04/2026","Proposed Expansion of Existing Production Facilities for M.S. Billet (from 90000 TPA to 180000 TPA) through Induction Furnace (22 TPH x 2 and 15 TPH x 1) and Rolling Mill products (from 98844 TPA to 200000 TPA) By KD Iron & Steel Pvt. Ltd., at IIDC, Village Borshil, Sotshil, Po. Maranjana, P.S. Rangia, Tehsil - Rangia, Dist.- Kamrup (Rural), Assam – 781354",ASSAM,K D IRON AND STEEL CO,SEIAA,EC Granted,ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
3,SIA/AS/IND1/453316/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/107380/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
28/03/2024","Environmental Clearance for setting up the greenfield plant for production of 90,000TPA TMT Bars or MS Re-rolled products by installing rolling mill of 300TPD capacity along with Reheating furnace (coal based) of avg. capacity between 15-18TPH by M/s Irid Casting Works LLP at Village – Pangram Part-I, P.O. Udharbond Dist. Cachar, Assam.",ASSAM,IRID CASTING WORKS LLP,SEIAA,EC Granted,ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
4,SIA/AS/IND1/455537/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/122007/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/02/2024",Proposed production capacity of MS Bars 400 MT/month and MS Channel 600 MT/month of the existing unit by M/S Vridhi Iron & Steel,ASSAM,VRIDHI IRON & STEELS,SEIAA,"DELISTED BY SYSTEM
(at : 07/07/2025)",ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
5,SIA/AS/IND1/439949/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/139576/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
05/02/2024",Regularisation of existing manufacturing unit VISION METALIK COMPANY of capacity 9840 MTPA that produces MS ingots.,ASSAM,VISION METALIK COMPANY,SEIAA,"DELISTED BY SYSTEM
(at : 30/10/2024)",ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
6,SIA/AS/IND1/435646/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/135400/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/02/2024",Regularisation of existing manufacturing unit of VISION ISPAT PRIVATE LIMITED that produces TMT Bars and Rods of 24000 MTPA,ASSAM,VISION ISPAT PRIVATE LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 30/10/2024)",ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
7,SIA/AS/IND1/436219/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/135984/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/02/2024","Regularisation of existing manufacturing unit- SANJAY ISPAT OF 10000 MTPA capacity that produces gate channel, T -iron, ""Z"", strips, angles and other sectional rods and bars.",ASSAM,SANJAY ISPAT,SEIAA,"DELISTED BY SYSTEM
(at : 30/10/2024)",ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
8,SIA/AS/IND1/435571/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/135328/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/02/2024",Regularisation of existing manufacturing unit of ISPAT UDYOG PRIVATE LIMITED that produces MS rods/TMT bars of 4800 MTPA.,ASSAM,ISPAT UDYOG PRIVATE LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 30/10/2024)",ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
9,SIA/AS/IND1/440015/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/139635/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/02/2024","Regularisation of existing manufacturing unit - GRIHASHAKTI STEELS PRIVATE LIMITED that produces TMT bars and coils of capacity 19458 MTPA, MIS Roll and end cutting of capacity 708 MTPA",ASSAM,GRIHASHAKTI STEELS PRIVATE LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 30/10/2024)",ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
10,SIA/AS/IND1/411682/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/112598/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/11/2023","Regularization of existing Rolling Mill of capacity 70 TPD for production of 21,000 TPA TMT bars and Re-Rolled products along with Re-heating furnace of 6TPH capacity .",ASSAM,LADI STEEL INDUSTRIES PRIVATE LIMITED,SEIAA,TOR GRANTED,ASSAM,3(a) Metallurgical Industries (ferrous and non ferrous)
1,SIA/AS/IND1/581532/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/286267/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
26/06/2026","Standalone Grinding Unit with Cement production capacity of 6.0 Million TPA (2 x 3.0 Million TPA), D.G. Set of 2 x 1250 KVA and Material storage & dispatch facilities at Village: Itagaon, Tehsil: Lanka, District: Hojai, Assam by M/s. Ambuja Concrete North Private Limited",ASSAM,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,Standard ToR Granted,ASSAM,3(b) Cement plants
2,SIA/AS/IND1/583001/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/278273/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/06/2026","Proposed 1500 TPD Clinkerisation plant at Jhoombasti village (Badarpurghat), District Karimganj, Assam",ASSAM,VALLEY STRONG CEMENTS (ASSAM) LIMITED,SEIAA,ADS Raised,ASSAM,3(b) Cement plants
3,SIA/AS/IND1/571669/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/276639/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/03/2026",Cement Grinding Unit (1.0 MTPA OPC/PPC/PSC),ASSAM,MAX CEMENT INDUSTRIES PRIVATE LIMITED,SEIAA,Standard ToR Granted,ASSAM,3(b) Cement plants
4,SIA/AS/IND1/572205/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/278273/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/03/2026","Proposed 1500 TPD Clinkerisation plant at Jhoombasti village (Badarpurghat), District Karimganj, Assam",ASSAM,VALLEY STRONG CEMENTS (ASSAM) LIMITED,SEIAA,Standard ToR Granted,ASSAM,3(b) Cement plants
5,SIA/AS/IND1/564107/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/265156/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/01/2026","Integrated Cement Plant with production capacity of Clinker (0.95 Million TPA), Cement (0.95 Million TPA - OPC, PPC, PSC, Composite Cement, PLC and LC3), WHRS (6 MW) and D.G. Set (2 x 500 KVA) at Village: New Umrangso (19 kilo), Tehsil: Umrangso, District: Dima Hasao, State: Assam by M/s. JK Lakshmi Cement Ltd.",ASSAM,JK LAKSHMI CEMENT LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
6,SIA/AS/IND1/557465/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/265156/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/11/2025","Integrated Cement Plant with production capacity of Clinker (0.95 Million TPA), Cement (0.95 Million TPA - OPC, PPC, PSC, Composite Cement, PLC and LC3), WHRS (6 MW) and D.G. Set (2 x 500 KVA) at Village: New Umrangso (19 kilo), Tehsil: Umrangso, District: Dima Hasao, State: Assam by M/s. JK Lakshmi Cement Ltd.",ASSAM,JK LAKSHMI CEMENT LIMITED,SEIAA,Standard ToR Granted,ASSAM,3(b) Cement plants
7,SIA/AS/IND1/518005/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/151591/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/01/2025",Establishment of a New Standalone Cement Grinding Unit of Capacity 2.0 MTPA,ASSAM,STAR CEMENT (I) LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
8,SIA/AS/IND1/497304/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/151591/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/10/2024",Establishment of a New Standalone Cement Grinding Unit of Capacity 2.0 MTPA,ASSAM,STAR CEMENT (I) LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
9,SIA/AS/IND1/502278/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/155958/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
21/10/2024","Proposed Cement Plant of 600 TPD Capacity (Clinker 400 TPD and Grinding 600 TPD), at P.P NO. 190, Dag No. 50 & P.P. No. 192, Dag No. 52 Situated at Village Kokdanglanso, Langri Kissam, PO & PS Diyungbra, Dist. Dima Hasao, Assam, Pin-782448 by M/s. Gold Strong Industries LLP",ASSAM,GOLD STRONG INDUSTRIES LLP,SEIAA,EC Granted,ASSAM,3(b) Cement plants
10,SIA/AS/IND1/484198/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/127857/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/07/2024",Installation of Split Cement Grinding Unit of capacity 1.0 MTPA,ASSAM,TAJ CEMENT MANUFACTURING PRIVATE LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
11,SIA/AS/IND1/476245/2024,"Clearance Type: Application for Corrigendum Form-13
S/W No.: SW/117703/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/05/2024",Setting up of 300 TPD VSK Clinker manufacturing Unit and 500 TPD cement manufacturing Unit,ASSAM,DAIVIK CEMENT MANUFACTURING PRIVATE LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
12,SIA/AS/IND1/472458/2024,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/180681/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/05/2024","Name Change in Environmental Clearance of Standlaone Grinding Unit at Village: 2 No. Pipalpukhuri, Taluka: Lanka, District- Hojai, Assam",ASSAM,DALMIA CEMENT (NORTH EAST) LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
13,SIA/AS/IND1/471815/2024,"Clearance Type: Application for Transfer of ToR - Form-8
S/W No.: SW/151591/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/05/2024",Establishment of a New Standalone Cement Grinding Unit of Capacity 2.0 MTPA,ASSAM,STAR CEMENT (I) LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 30/10/2024)",ASSAM,3(b) Cement plants
14,SIA/AS/IND1/463706/2024,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/172765/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/02/2024","Proposed Cement and Cement Clinker manufacturing Unit [Cement 0.66 MTPA (OPC 0.132 MTPA, & PPC 0.528 MTPA) and Clinker 0.528 MTPA] at Debendranagar, Joom Basti, Badarpurghat, Dist-Karimganj, Assam by M/s Valley Strong Cement (Assam) Ltd. Regarding-Environmental Clearance",ASSAM,VALLEY STRONG CEMENTS (ASSAM) LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
15,SIA/AS/IND1/452432/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/151591/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
15/02/2024",Establishment of a New Standalone Cement Grinding Unit of Capacity 2.0 MTPA,ASSAM,STAR CEMENT (I) LIMITED,SEIAA,ToR Granted,ASSAM,3(b) Cement plants
16,SIA/AS/IND1/456653/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/155958/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
07/02/2024","Proposed Cement Plant of 600 TPD Capacity (Clinker 400 TPD and Grinding 600 TPD), at P.P NO. 190, Dag No. 50 & P.P. No. 192, Dag No. 52 Situated at Village Kokdanglanso, Langri Kissam, PO & PS Diyungbra, Dist. Dima Hasao, Assam, Pin-782448 by M/s. Gold Strong Industries LLP",ASSAM,GOLD STRONG INDUSTRIES LLP,SEIAA,ToR Granted,ASSAM,3(b) Cement plants
17,SIA/AS/IND1/453789/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/152918/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/01/2024","Proposed Cement Plant of 600 TPD (Phase I: 300 TPD Grinding, Phase II: 300 TPD Clinker & 300 TPD Grinding) by M/s. Kanak Minerals LLP",ASSAM,KANAK MINERALS LLP,SEIAA,TOR Granted,ASSAM,3(b) Cement plants
18,SIA/AS/IND1/445498/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/117703/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/10/2023",Setting up of 300 TPD VSK Clinker manufacturing Unit and 500 TPD cement manufacturing Unit,ASSAM,DAIVIK CEMENT MANUFACTURING PRIVATE LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
19,SIA/AS/IND1/427957/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/127857/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/07/2023",Installation of Split Cement Grinding Unit of capacity 1.0 MTPA,ASSAM,TAJ CEMENT MANUFACTURING PRIVATE LIMITED,SEIAA,TOR Granted,ASSAM,3(b) Cement plants
20,SIA/AS/IND1/416922/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/117703/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/02/2023",Setting up of 300 TPD VSK Clinker manufacturing Unit and 500 TPD cement manufacturing Unit,ASSAM,DAIVIK CEMENT MANUFACTURING PRIVATE LIMITED,SEIAA,TOR Granted,ASSAM,3(b) Cement plants
21,SIA/AS/IND1/407155/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/105527/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/11/2022",Establishment of a New Standalone Cement Grinding Unit of Capacity 2.0 MTPA,ASSAM,STAR CEMENT NORTH EAST LIMITED,SEIAA,EC Granted,ASSAM,3(b) Cement plants
1,SIA/AS/IND2/579610/2026,"Clearance Type: Application for Corrigendum Form-13
S/W No.: SW/268787/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
25/05/2026",Aadhar Innovations LLP 199 KLD Ethanol/ ENA Distillery with 5 MW Co-Generation Plant,ASSAM,AADHAR INNOVATIONS LLP,SEIAA,EC Granted,ASSAM,5(g) Distilleries
2,SIA/AS/IND2/575213/2026,"Clearance Type: Application for amendment in ToR (for categories A & B1)/Amendment in EC (for category B2)- Form-3
S/W No.: SW/248958/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
10/04/2026",Expansion of Grain Based Ethanol Plant from 300 KLD to 600 KLD and Co-generation Power Plant from 6.0 MW to 15.0 MW BY M/s Kamakhya Biofuels Private Limited,ASSAM,KAMAKHYA BIOFUELS PVT. LTD.,SEIAA,EC Granted,ASSAM,5(g) Distilleries
